date,start,end,awake,rem,light,deep,duration,time_asleep,start_hour,end_hour
"Monday, Nov 2, 2020",2020-11-02 20:45:00,2020-11-03 06:06:00,99.86,100.98,254.13,106.03,561.0,461.14,20.75,6.1
"Sunday, Nov 1, 2020",2020-11-01 21:45:00,2020-11-02 05:47:00,60.25,96.4,241.0,84.35,482.0,421.75,21.75,5.78
"Saturday, Oct 31, 2020",2020-10-31 21:12:00,2020-11-01 07:30:00,100.73,103.21,278.1,135.96,618.0,517.27,21.2,7.5
"Friday, Oct 30, 2020",2020-10-30 20:59:00,2020-10-31 06:18:00,112.92,106.21,230.87,109.01,559.0,446.08,20.98,6.3
"Thursday, Oct 29, 2020",2020-10-29 20:55:00,2020-10-30 06:32:00,70.97,136.75,267.73,100.98,577.0,505.45,20.92,6.53
"Wednesday, Oct 28, 2020",2020-10-28 20:21:00,2020-10-29 05:46:00,98.88,101.14,297.76,67.24,565.0,466.12,20.35,5.77
"Tuesday, Oct 27, 2020",2020-10-27 22:00:00,2020-10-28 07:42:00,108.25,107.09,282.27,84.97,582.0,474.33,22.0,7.7
"Monday, Oct 26, 2020",2020-10-26 20:34:00,2020-10-27 06:12:00,130.05,112.13,234.09,101.73,578.0,447.95,20.57,6.2
"Sunday, Oct 25, 2020",2020-10-25 22:05:00,2020-10-26 08:18:00,117.7,117.7,264.82,112.18,613.0,494.69,22.08,8.3
"Saturday, Oct 24, 2020",2020-10-24 22:39:00,2020-10-25 06:13:00,80.81,74.91,241.07,57.2,454.0,373.19,22.65,6.22
"Friday, Oct 23, 2020",2020-10-23 20:30:00,2020-10-24 05:48:00,80.91,93.19,319.18,64.73,558.0,477.09,20.5,5.8
"Thursday, Oct 22, 2020",2020-10-22 21:35:00,2020-10-23 06:09:00,70.93,89.95,240.04,113.08,514.0,443.07,21.58,6.15
"Wednesday, Oct 21, 2020",2020-10-21 21:53:00,2020-10-22 05:50:00,55.81,113.05,216.08,92.06,477.0,421.19,21.88,5.83
"Tuesday, Oct 20, 2020",2020-10-20 20:30:00,2020-10-21 05:34:00,81.06,116.96,260.03,85.95,544.0,462.94,20.5,5.57
"Monday, Oct 19, 2020",2020-10-19 20:07:00,2020-10-20 06:06:00,146.16,107.82,274.94,70.08,599.0,452.84,20.12,6.1
"Sunday, Oct 18, 2020",2020-10-18 19:55:00,2020-10-19 05:52:00,122.98,96.12,275.81,102.09,597.0,474.02,19.92,5.87
"Saturday, Oct 17, 2020",2020-10-17 21:11:00,2020-10-18 08:02:00,113.92,115.23,283.84,138.01,651.0,537.08,21.18,8.03
"Friday, Oct 16, 2020",2020-10-16 21:05:00,2020-10-17 06:03:00,104.91,97.92,244.79,89.85,538.0,432.55,21.08,6.05
"Thursday, Oct 15, 2020",2020-10-15 20:35:00,2020-10-16 04:48:00,93.18,78.88,211.99,108.95,493.0,399.82,20.58,4.8
"Wednesday, Oct 14, 2020",2020-10-14 21:27:00,2020-10-15 06:52:00,54.8,132.78,244.08,132.78,565.0,509.63,21.45,6.87
"Tuesday, Oct 13, 2020",2020-10-13 19:42:00,2020-10-14 05:01:00,139.75,74.91,266.08,78.26,559.0,419.25,19.7,5.02
"Monday, Oct 12, 2020",2020-10-12 19:40:00,2020-10-13 05:59:00,110.8,113.28,297.12,97.8,619.0,508.2,19.67,5.98
"Sunday, Oct 11, 2020",2020-10-11 19:35:00,2020-10-12 05:05:00,94.05,111.15,255.93,108.87,570.0,475.95,19.58,5.08
"Saturday, Oct 10, 2020",2020-10-10 20:15:00,2020-10-11 05:13:00,87.16,123.2,232.95,95.23,538.0,451.38,20.25,5.22
"Friday, Oct 9, 2020",2020-10-09 19:49:00,2020-10-10 04:58:00,87.84,91.13,271.76,98.27,549.0,461.16,19.82,4.97
